X,Y,CROSSSTREET,FIXTURESTYLE_DESC,HOUSENO,LIGHTMANUFACTURER_DESC,LIGHTTYPE_DESC,NUMBERLIGHTS,OWNER_DESC,POLECOMPOSITION_DESC,POLEHEIGHT_DESC,POLETYPE_DESC,POWERFEED_DESC,QUADRANT_DESC,ROADCLASSIFICATION_DESC,STREETLIGHTID,STREETNAME,STREETSEGMID,TRAFFICCOMBO,WATTAGE1,WATTAGE2,WHATMODIFIED,OBJECTID
-77.02010163,38.92021807,6TH ST,Cobrahead Cutoff,529,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Collector,13964,BRYANT ST,9042.0,NO,400.0,,,15028195
-77.0297169,38.91550466,T ST,Cobrahead Cutoff,0,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Minor Arterial,13462,13TH ST,3905.0,YES,400.0,,,15028196
-77.03265952,38.92051251,14TH ST,Cobrahead Cutoff,1420,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Local,12055,BELMONT ST,1294.0,NO,400.0,,,15028197
-77.04371845,38.92085121,BELMONT ST,Cobrahead Semi Cutoff,1864,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Minor Arterial,11513,COLUMBIA RD,10462.0,NO,400.0,,,15028198
-77.02964,38.92468416,FAIRMONT ST,Cobrahead Semi Cutoff,0,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Minor Arterial,12451,13TH ST,386.0,NO,400.0,,,15028199
-77.02129081,38.92506433,FAIRMONT ST,Cobrahead Semi Cutoff,0,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Local,13141,6TH ST,801.0,NO,250.0,,,15028200
-77.02815021,38.91927053,W ST,Cobrahead Semi Cutoff,0,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Local,12653,12TH ST,8411.0,NO,250.0,,,15028201
-77.0214408,38.92529852,GIRARD ST,Cobrahead Semi Cutoff,2700,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,30 ft,PP,Underground,NW,Local,13140,6TH ST,801.0,NO,250.0,,,15028202
-77.04047354,38.93315774,NEWTON ST,Cobrahead Cutoff,3316,General Electric,HPS-High Pressure Sodium,1.0,Verizon,Wood,35 ft,Wood,Underground,NW,Local,10340DC,MOUNT PLEASANT ST,9065.0,NO,100.0,,,15028203
-77.04436037,38.93320137,PARK RD,Cobrahead Cutoff,3240,General Electric,HPS-High Pressure Sodium,1.0,DDOT,Steel,28 ft,5A,Underground,NW,Local,10035,19TH ST,4426.0,NO,70.0,,,15028204
